food,store_name,위도,경도
갈비찜,다반,37.546937388063,127.042631969608
갈비찜,대방골,37.5309293878191,126.921083475319
갈비찜,시래마루,37.5060001874742,127.097906114834
갈비찜,식신매운갈비찜,37.5561056666792,126.915132709906
갈비찜,자하문로118 들풀,37.5864261010475,126.970135896601
갈비찜,태능설렁탕 본점,37.6164615283138,127.079320691885
갈비찜,대문한정식,37.6637007124723,127.027547248279
갈비찜,서울신라호텔 라연,37.5575055053737,127.007952910656
갈비찜,덕승재 상암본점,37.577109695587,126.891403860718
갈비찜,한우상회,37.4853545765742,127.119226534642
갈비찜,광화문국밥 도곡점,37.4840929324582,127.044316076729
갈비찜,오내찜 선릉본점,37.5035679181184,127.054272932582
갈비찜,동구식당,37.5437359571182,127.051454476206
갈비찜,동남집(마곡발산점),37.5601356822454,126.837697932979
